TRatePercent,Health_Events,Geography,CalendarYear,Gender,RaceEthnicity,Textbox3,DT_Count,DT_Population,DT_RATE,DT_LB,DT_UB1,Significance,County_Code
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,All Races,All ages,"17,417","12,793,767",13.4,13.2,13.6,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,All Races,5 to 14,"2,378","1,509,022",15.8,15.2,16.4,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,All Races,15 to 34,"1,981","3,349,980",6.0,5.7,6.3,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,All Races,35 to 64,"6,906","5,087,159",12.9,12.6,13.2,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,All Races,65+,"3,830","2,132,617",17.9,17.3,18.5,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,White,All ages,"9,034","10,596,661",7.9,7.7,8.1,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,White,5 to 14,671,"1,164,279",5.8,5.4,6.2,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,White,15 to 34,910,"2,643,323",3.4,3.2,3.6,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,White,35 to 64,"3,774","4,327,301",8.3,8.0,8.6,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,White,65+,"2,945","1,934,259",15.1,14.6,15.6,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Black,All ages,"5,986","1,488,586",40.2,39.2,41.2,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Black,5 to 14,"1,156","216,891",53.3,50.2,56.4,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Black,15 to 34,847,"470,783",18.4,17.2,19.6,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Black,35 to 64,"2,533","534,360",45.0,43.2,46.8,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Black,65+,636,"150,806",41.4,38.2,44.6,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Hispanic,All ages,"1,469","843,285",19.2,18.2,20.2,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Hispanic,5 to 14,335,"160,930",20.5,18.3,22.7,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Hispanic,15 to 34,168,"294,624",5.8,4.9,6.7,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Hispanic,35 to 64,488,"256,507",19.6,17.9,21.3,,000
   Age-Adjusted Rate,Asthma,Pennsylvania,2014,Total,Hispanic,65+,142,"41,241",35.8,29.9,41.7,,000
   Age-Adjusted Rate,Asthma,Adams,2014,Total,All Races,All ages,55,"101,787",4.9,3.6,6.2,-,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,All Races,5 to 14,ND,"11,940",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,All Races,15 to 34,ND,"24,492",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,All Races,35 to 64,29,"41,556",7.6,4.8,10.4,-,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,All Races,65+,22,"18,573",11.6,6.8,16.4,-,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,White,All ages,50,"97,158",4.6,3.3,5.9,-,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,White,5 to 14,ND,"11,043",ND,ND,ND,,001
   Age-Adjusted Rate,Asthma,Adams,2014,Total,White,15 to 34,ND,"23,023",ND,ND,ND,,001
