county,date,measures,data_set_id
Luzerne,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":33,""total_jobs"":33}",1
Adams,2016-04-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":4,""total_jobs"":4}",1
Allegheny,2015-12-01,"{""jobs_pledged_to_be_created"":814,""jobs_pledged_to_be_retained"":0,""total_jobs"":814}",1
Allegheny,2015-01-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":2,""total_jobs"":2}",1
Allegheny,2015-07-01,"{""jobs_pledged_to_be_created"":1100,""jobs_pledged_to_be_retained"":0,""total_jobs"":1100}",1
Allegheny,2015-07-01,"{""jobs_pledged_to_be_created"":100,""jobs_pledged_to_be_retained"":342,""total_jobs"":442}",1
Allegheny,2015-06-01,"{""jobs_pledged_to_be_created"":100,""jobs_pledged_to_be_retained"":0,""total_jobs"":100}",1
Allegheny,2015-06-01,"{""jobs_pledged_to_be_created"":115,""jobs_pledged_to_be_retained"":371,""total_jobs"":486}",1
Allegheny,2015-03-01,"{""jobs_pledged_to_be_created"":15,""jobs_pledged_to_be_retained"":32,""total_jobs"":47}",1
Allegheny,2015-03-01,"{""jobs_pledged_to_be_created"":150,""jobs_pledged_to_be_retained"":1385,""total_jobs"":1535}",1
Allegheny,2015-05-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":5,""total_jobs"":5}",1
Allegheny,2015-05-01,"{""jobs_pledged_to_be_created"":166,""jobs_pledged_to_be_retained"":154,""total_jobs"":320}",1
Allegheny,2015-11-01,"{""jobs_pledged_to_be_created"":40,""jobs_pledged_to_be_retained"":0,""total_jobs"":40}",1
Allegheny,2015-09-01,"{""jobs_pledged_to_be_created"":100,""jobs_pledged_to_be_retained"":425,""total_jobs"":525}",1
Allegheny,2016-04-01,"{""jobs_pledged_to_be_created"":30,""jobs_pledged_to_be_retained"":0,""total_jobs"":30}",1
Allegheny,2016-04-01,"{""jobs_pledged_to_be_created"":125,""jobs_pledged_to_be_retained"":0,""total_jobs"":125}",1
Allegheny,2016-04-01,"{""jobs_pledged_to_be_created"":80,""jobs_pledged_to_be_retained"":2,""total_jobs"":82}",1
Allegheny,2016-04-01,"{""jobs_pledged_to_be_created"":105,""jobs_pledged_to_be_retained"":46,""total_jobs"":151}",1
Allegheny,2016-08-01,"{""jobs_pledged_to_be_created"":5,""jobs_pledged_to_be_retained"":9,""total_jobs"":14}",1
Allegheny,2016-02-01,"{""jobs_pledged_to_be_created"":64,""jobs_pledged_to_be_retained"":0,""total_jobs"":64}",1
Allegheny,2016-02-01,"{""jobs_pledged_to_be_created"":20,""jobs_pledged_to_be_retained"":5,""total_jobs"":25}",1
Allegheny,2016-02-01,"{""jobs_pledged_to_be_created"":19,""jobs_pledged_to_be_retained"":24,""total_jobs"":43}",1
Allegheny,2016-02-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":75,""total_jobs"":75}",1
Allegheny,2016-01-01,"{""jobs_pledged_to_be_created"":311,""jobs_pledged_to_be_retained"":0,""total_jobs"":311}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":40,""jobs_pledged_to_be_retained"":0,""total_jobs"":40}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":322,""jobs_pledged_to_be_retained"":0,""total_jobs"":322}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":992,""jobs_pledged_to_be_retained"":0,""total_jobs"":992}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":5,""total_jobs"":5}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":6,""total_jobs"":6}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":11,""total_jobs"":11}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":12,""total_jobs"":12}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":50,""jobs_pledged_to_be_retained"":16,""total_jobs"":66}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":30,""total_jobs"":30}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":52,""total_jobs"":52}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":11,""jobs_pledged_to_be_retained"":54,""total_jobs"":65}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":92,""total_jobs"":92}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":151,""total_jobs"":151}",1
Allegheny,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":232,""total_jobs"":232}",1
Allegheny,2016-06-01,"{""jobs_pledged_to_be_created"":51,""jobs_pledged_to_be_retained"":9,""total_jobs"":60}",1
Allegheny,2016-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":22,""total_jobs"":22}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":8,""jobs_pledged_to_be_retained"":4,""total_jobs"":12}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":5,""jobs_pledged_to_be_retained"":9,""total_jobs"":14}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":22,""total_jobs"":22}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":20,""jobs_pledged_to_be_retained"":25,""total_jobs"":45}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":20,""jobs_pledged_to_be_retained"":30,""total_jobs"":50}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":50,""jobs_pledged_to_be_retained"":40,""total_jobs"":90}",1
Allegheny,2016-10-01,"{""jobs_pledged_to_be_created"":50,""jobs_pledged_to_be_retained"":374,""total_jobs"":424}",1
Armstrong,2015-06-01,"{""jobs_pledged_to_be_created"":10,""jobs_pledged_to_be_retained"":52,""total_jobs"":62}",1
Armstrong,2016-07-01,"{""jobs_pledged_to_be_created"":40,""jobs_pledged_to_be_retained"":0,""total_jobs"":40}",1
Armstrong,2016-07-01,"{""jobs_pledged_to_be_created"":5,""jobs_pledged_to_be_retained"":10,""total_jobs"":15}",1
Armstrong,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":10,""total_jobs"":10}",1
Beaver,2016-08-01,"{""jobs_pledged_to_be_created"":4,""jobs_pledged_to_be_retained"":24,""total_jobs"":28}",1
Beaver,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":32,""total_jobs"":32}",1
Bedford,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":6,""total_jobs"":6}",1
Bedford,2016-03-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":6,""total_jobs"":6}",1
Berks,2015-12-01,"{""jobs_pledged_to_be_created"":400,""jobs_pledged_to_be_retained"":0,""total_jobs"":400}",1
Berks,2015-07-01,"{""jobs_pledged_to_be_created"":40,""jobs_pledged_to_be_retained"":142,""total_jobs"":182}",1
Berks,2015-10-01,"{""jobs_pledged_to_be_created"":2,""jobs_pledged_to_be_retained"":40,""total_jobs"":42}",1
Berks,2016-08-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":9,""total_jobs"":9}",1
Berks,2016-07-01,"{""jobs_pledged_to_be_created"":600,""jobs_pledged_to_be_retained"":0,""total_jobs"":600}",1
Berks,2016-07-01,"{""jobs_pledged_to_be_created"":25,""jobs_pledged_to_be_retained"":2,""total_jobs"":27}",1
Berks,2016-07-01,"{""jobs_pledged_to_be_created"":1,""jobs_pledged_to_be_retained"":3,""total_jobs"":4}",1
Berks,2016-07-01,"{""jobs_pledged_to_be_created"":7,""jobs_pledged_to_be_retained"":4,""total_jobs"":11}",1
Berks,2016-07-01,"{""jobs_pledged_to_be_created"":2,""jobs_pledged_to_be_retained"":30,""total_jobs"":32}",1
Berks,2016-03-01,"{""jobs_pledged_to_be_created"":36,""jobs_pledged_to_be_retained"":690,""total_jobs"":726}",1
Blair,2015-08-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":8,""total_jobs"":8}",1
Blair,2015-07-01,"{""jobs_pledged_to_be_created"":13,""jobs_pledged_to_be_retained"":63,""total_jobs"":76}",1
Blair,2015-05-01,"{""jobs_pledged_to_be_created"":77,""jobs_pledged_to_be_retained"":0,""total_jobs"":77}",1
Blair,2016-07-01,"{""jobs_pledged_to_be_created"":1,""jobs_pledged_to_be_retained"":8,""total_jobs"":9}",1
Blair,2016-05-01,"{""jobs_pledged_to_be_created"":50,""jobs_pledged_to_be_retained"":0,""total_jobs"":50}",1
Bradford,2015-02-01,"{""jobs_pledged_to_be_created"":1,""jobs_pledged_to_be_retained"":1017,""total_jobs"":1018}",1
Bradford,2015-03-01,"{""jobs_pledged_to_be_created"":5,""jobs_pledged_to_be_retained"":14,""total_jobs"":19}",1
Bradford,2016-02-01,"{""jobs_pledged_to_be_created"":5,""jobs_pledged_to_be_retained"":19,""total_jobs"":24}",1
Bradford,2016-02-01,"{""jobs_pledged_to_be_created"":13,""jobs_pledged_to_be_retained"":62,""total_jobs"":75}",1
Bradford,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":40,""total_jobs"":40}",1
Bradford,2016-03-01,"{""jobs_pledged_to_be_created"":60,""jobs_pledged_to_be_retained"":0,""total_jobs"":60}",1
Bucks,2015-07-01,"{""jobs_pledged_to_be_created"":24,""jobs_pledged_to_be_retained"":0,""total_jobs"":24}",1
Bucks,2015-07-01,"{""jobs_pledged_to_be_created"":2,""jobs_pledged_to_be_retained"":9,""total_jobs"":11}",1
Bucks,2015-03-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":73,""total_jobs"":73}",1
Bucks,2015-03-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":99,""total_jobs"":99}",1
Bucks,2015-03-01,"{""jobs_pledged_to_be_created"":3,""jobs_pledged_to_be_retained"":109,""total_jobs"":112}",1
