county,date,json,data_set_id
Statewide,2003-07-01,"{""ma_children"":794109,""ma_individuals"":1568331}",2
Statewide,2003-08-01,"{""ma_children"":802259,""ma_individuals"":1583604}",2
Statewide,2003-09-01,"{""ma_children"":806974,""ma_individuals"":1593909}",2
Statewide,2003-10-01,"{""ma_children"":808106,""ma_individuals"":1598428}",2
Statewide,2003-11-01,"{""ma_children"":812324,""ma_individuals"":1606559}",2
Statewide,2003-12-01,"{""ma_children"":808300,""ma_individuals"":1599837}",2
Statewide,2004-01-01,"{""ma_children"":818673,""ma_individuals"":1619962}",2
Statewide,2004-02-01,"{""ma_children"":824538,""ma_individuals"":1633543}",2
Statewide,2004-03-01,"{""ma_children"":829877,""ma_individuals"":1646213}",2
Statewide,2004-04-01,"{""ma_children"":834485,""ma_individuals"":1655202}",2
Statewide,2004-05-01,"{""ma_children"":848421,""ma_individuals"":1681510}",2
Statewide,2004-06-01,"{""ma_children"":844226,""ma_individuals"":1675709}",2
Statewide,2004-07-01,"{""ma_children"":854697,""ma_individuals"":1695805}",2
Statewide,2004-08-01,"{""ma_children"":863598,""ma_individuals"":1713023}",2
Statewide,2004-09-01,"{""ma_children"":863606,""ma_individuals"":1714467}",2
Statewide,2004-10-01,"{""ma_children"":870954,""ma_individuals"":1730171}",2
Statewide,2004-11-01,"{""ma_children"":874967,""ma_individuals"":1737462}",2
Statewide,2004-12-01,"{""ma_children"":874682,""ma_individuals"":1737227}",2
Statewide,2005-01-01,"{""ma_children"":883452,""ma_individuals"":1754796}",2
Statewide,2005-02-01,"{""ma_children"":884092,""ma_individuals"":1756741}",2
Statewide,2005-03-01,"{""ma_children"":889965,""ma_individuals"":1767771}",2
Statewide,2005-04-01,"{""ma_children"":898263,""ma_individuals"":1783183}",2
Statewide,2005-05-01,"{""ma_children"":904904,""ma_individuals"":1794043}",2
Statewide,2005-06-01,"{""ma_children"":901530,""ma_individuals"":1786685}",2
Statewide,2005-07-01,"{""ma_children"":903826,""ma_individuals"":1791598}",2
Statewide,2005-08-01,"{""ma_children"":910408,""ma_individuals"":1805225}",2
Statewide,2005-09-01,"{""ma_children"":910200,""ma_individuals"":1805502}",2
Statewide,2005-10-01,"{""ma_children"":918334,""ma_individuals"":1821871}",2
Statewide,2005-11-01,"{""ma_children"":913799,""ma_individuals"":1814104}",2
Statewide,2005-12-01,"{""ma_children"":919396,""ma_individuals"":1822722}",2
Statewide,2006-01-01,"{""ma_children"":925401,""ma_individuals"":1832035}",2
Statewide,2006-02-01,"{""ma_children"":926280,""ma_individuals"":1830889}",2
Statewide,2006-03-01,"{""ma_children"":941334,""ma_individuals"":1853985}",2
Statewide,2006-04-01,"{""ma_children"":954129,""ma_individuals"":1871778}",2
Statewide,2006-05-01,"{""ma_children"":960254,""ma_individuals"":1878145}",2
Statewide,2006-06-01,"{""ma_children"":962727,""ma_individuals"":1877364}",2
Statewide,2006-07-01,"{""ma_children"":967070,""ma_individuals"":1880983}",2
Statewide,2006-08-01,"{""ma_children"":975939,""ma_individuals"":1893364}",2
Statewide,2006-09-01,"{""ma_children"":972697,""ma_individuals"":1888814}",2
Statewide,2006-10-01,"{""ma_children"":973495,""ma_individuals"":1891539}",2
Statewide,2006-11-01,"{""ma_children"":964626,""ma_individuals"":1874432}",2
Statewide,2006-12-01,"{""ma_children"":963098,""ma_individuals"":1871952}",2
Statewide,2007-01-01,"{""ma_children"":964040,""ma_individuals"":1873546}",2
Statewide,2007-02-01,"{""ma_children"":960986,""ma_individuals"":1868867}",2
Statewide,2007-03-01,"{""ma_children"":974795,""ma_individuals"":1893569}",2
Statewide,2007-04-01,"{""ma_children"":973519,""ma_individuals"":1892051}",2
Statewide,2007-05-01,"{""ma_children"":969793,""ma_individuals"":1886836}",2
Statewide,2007-06-01,"{""ma_children"":969907,""ma_individuals"":1887649}",2
Statewide,2007-07-01,"{""ma_children"":975708,""ma_individuals"":1895525}",2
Statewide,2007-08-01,"{""ma_children"":979142,""ma_individuals"":1902307}",2
Statewide,2007-09-01,"{""ma_children"":982902,""ma_individuals"":1909992}",2
Statewide,2007-10-01,"{""ma_children"":980506,""ma_individuals"":1909492}",2
Statewide,2007-11-01,"{""ma_children"":969616,""ma_individuals"":1890567}",2
Statewide,2007-12-01,"{""ma_children"":970816,""ma_individuals"":1893949}",2
Statewide,2008-01-01,"{""ma_children"":970072,""ma_individuals"":1894194}",2
Statewide,2008-02-01,"{""ma_children"":970689,""ma_individuals"":1898153}",2
Statewide,2008-03-01,"{""ma_children"":988794,""ma_individuals"":1936114}",2
Statewide,2008-04-01,"{""ma_children"":991804,""ma_individuals"":1946605}",2
Statewide,2008-05-01,"{""ma_children"":994786,""ma_individuals"":1955604}",2
Statewide,2008-06-01,"{""ma_children"":992059,""ma_individuals"":1952383}",2
Statewide,2008-07-01,"{""ma_children"":993591,""ma_individuals"":1956781}",2
Statewide,2008-08-01,"{""ma_children"":1001429,""ma_individuals"":1972850}",2
Statewide,2008-09-01,"{""ma_children"":1005268,""ma_individuals"":1980761}",2
Statewide,2008-10-01,"{""ma_children"":1010404,""ma_individuals"":1992046}",2
Statewide,2008-11-01,"{""ma_children"":1013706,""ma_individuals"":2001054}",2
Statewide,2008-12-01,"{""ma_children"":1016800,""ma_individuals"":2009340}",2
Statewide,2009-01-01,"{""ma_children"":1021680,""ma_individuals"":2022583}",2
Statewide,2009-02-01,"{""ma_children"":1030935,""ma_individuals"":2038900}",2
Statewide,2009-03-01,"{""ma_children"":1043044,""ma_individuals"":2059462}",2
Statewide,2009-04-01,"{""ma_children"":1043337,""ma_individuals"":2059168}",2
Statewide,2009-05-01,"{""ma_children"":1047519,""ma_individuals"":2068414}",2
Statewide,2009-06-01,"{""ma_children"":1051344,""ma_individuals"":2077301}",2
Statewide,2009-07-01,"{""ma_children"":1055349,""ma_individuals"":2083389}",2
Statewide,2009-08-01,"{""ma_children"":1070432,""ma_individuals"":2110698}",2
Statewide,2009-09-01,"{""ma_children"":1071832,""ma_individuals"":2114380}",2
Statewide,2009-10-01,"{""ma_children"":1083036,""ma_individuals"":2136334}",2
Statewide,2009-11-01,"{""ma_children"":1079750,""ma_individuals"":2130149}",2
Statewide,2009-12-01,"{""ma_children"":1075320,""ma_individuals"":2123174}",2
Statewide,2010-01-01,"{""ma_children"":1084877,""ma_individuals"":2143140}",2
