county,county_fips_code
Butler,us-pa-019
Greene,us-pa-059
Adams,us-pa-001
Jefferson,us-pa-065
Potter,us-pa-105
Fayette,us-pa-051
Lycoming,us-pa-081
Union,us-pa-119
Venango,us-pa-121
Lebanon,us-pa-075
Montgomery,us-pa-091
Somerset,us-pa-111
Delaware,us-pa-045
Mercer,us-pa-085
Northampton,us-pa-095
Forest,us-pa-053
Westmoreland,us-pa-129
Allegheny,us-pa-003
Cameron,us-pa-023
York,us-pa-133
Centre,us-pa-027
Fulton,us-pa-057
Pike,us-pa-103
Carbon,us-pa-025
Huntingdon,us-pa-061
Washington,us-pa-125
Warren,us-pa-123
Lackawanna,us-pa-069
Crawford,us-pa-039
Bradford,us-pa-015
Cambria,us-pa-021
Mifflin,us-pa-087
Schuylkill,us-pa-107
Franklin,us-pa-055
Chester,us-pa-029
Columbia,us-pa-037
Dauphin,us-pa-043
Berks,us-pa-011
Susquehanna,us-pa-115
Bucks,us-pa-017
McKean,us-pa-083
Philadelphia,us-pa-101
Sullivan,us-pa-113
Cumberland,us-pa-041
Wayne,us-pa-127
Beaver,us-pa-007
Elk,us-pa-047
Juniata,us-pa-067
Northumberland,us-pa-097
Snyder,us-pa-109
Tioga,us-pa-117
Luzerne,us-pa-079
Erie,us-pa-049
Bedford,us-pa-009
Indiana,us-pa-063
Lawrence,us-pa-073
Clearfield,us-pa-033
Monroe,us-pa-089
Lancaster,us-pa-071
Perry,us-pa-099
Wyoming,us-pa-131
Blair,us-pa-013
Montour,us-pa-093
Armstrong,us-pa-005
Lehigh,us-pa-077
Clarion,us-pa-031
Clinton,us-pa-035
