county,date,measures,data_set_id
N/A,2015-08-31,"{""corrections_population"":900}",3
N/A,2015-11-30,"{""corrections_population"":7}",3
N/A,2015-06-30,"{""corrections_population"":336}",3
N/A,2016-01-31,"{""corrections_population"":7}",3
N/A,2016-05-31,"{""corrections_population"":582}",3
N/A,2015-09-30,"{""corrections_population"":964}",3
N/A,2015-10-31,"{""corrections_population"":237}",3
Huntingdon,2016-12-31,"{""corrections_population"":1350}",3
Luzerne,2016-12-31,"{""corrections_population"":2116}",3
Luzerne,2016-12-31,"{""corrections_population"":1136}",3
Huntingdon,2016-12-31,"{""corrections_population"":2137}",3
N/A,2016-12-31,"{""corrections_population"":151}",3
N/A,2016-12-31,"{""corrections_population"":106}",3
Indiana,2016-12-31,"{""corrections_population"":949}",3
Centre,2016-12-31,"{""corrections_population"":2391}",3
Clearfield,2016-12-31,"{""corrections_population"":2482}",3
Cumberland,2016-12-31,"{""corrections_population"":2519}",3
N/A,2016-12-31,"{""corrections_population"":322}",3
Wayne,2016-12-31,"{""corrections_population"":1365}",3
Delaware,2016-12-31,"{""corrections_population"":1283}",3
Fayette,2016-12-31,"{""corrections_population"":2095}",3
N/A,2016-12-31,"{""corrections_population"":107}",3
Clearfield,2016-12-31,"{""corrections_population"":498}",3
Somerset,2016-12-31,"{""corrections_population"":1573}",3
Northumberland,2016-12-31,"{""corrections_population"":2283}",3
Erie,2016-12-31,"{""corrections_population"":2286}",3
Schuylkill,2016-12-31,"{""corrections_population"":2420}",3
Centre,2016-12-31,"{""corrections_population"":2088}",3
Montgomery,2016-12-31,"{""corrections_population"":3228}",3
Crawford,2016-12-31,"{""corrections_population"":1202}",3
Mercer,2016-12-31,"{""corrections_population"":1427}",3
N/A,2016-12-31,"{""corrections_population"":526}",3
N/A,2016-12-31,"{""corrections_population"":8}",3
N/A,2016-12-31,"{""corrections_population"":254}",3
Somerset,2016-12-31,"{""corrections_population"":2390}",3
Greene,2016-12-31,"{""corrections_population"":1727}",3
