Textbox135,Textbox137,Textbox139,Textbox141,Textbox143,Textbox145,Textbox147,Textbox283,Textbox467,Textbox459,Textbox465,S_EIT_EFFV,Textbox461,Textbox285,Textbox457,Textbox455,Textbox453,Textbox451,Textbox421,Textbox437,Textbox435,Textbox433,Textbox431,Textbox423,Textbox429,Textbox425,Textbox469,Textbox471,Textbox475,Textbox477,Textbox473,Textbox427,Textbox489,Textbox493,Textbox529,Textbox531,Textbox533,Textbox541,Textbox539,Textbox537,Textbox535,Textbox527,Textbox525,Textbox523,Textbox519,Textbox521,Textbox517,Textbox515,Textbox513,Textbox511,Textbox509,Textbox507,Textbox505,Textbox503,Textbox501,Textbox499,Textbox497,Textbox495,Textbox491,Textbox218,Textbox220,Textbox224,Textbox222,Textbox228,Textbox226,Textbox230,Textbox232
2017,POTTER,530035,ABBOTT TWP,532804,GALETON AREA S D,0,,0.5,,0.5,,0,1,0,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530301,POTTER TAX COLLECTION DISTRICT
2017,ADAMS,010033,ABBOTTSTOWN BORO,011603,CONEWAGO VALLEY S D,1,02/13/1969,0.5,02/13/1969,1,07/01/2016,0,1.5,0,0,47,11/15/2007,5,01/01/2008,52,12000,0,York Adams Tax Bureau,1405 North Duke Street,PO Box 15627,,York,PA,17405,,(717) 845-1584,,,(717) 854-6376,,www.yatb.com,York Adams Tax Bureau,1405 North Duke Street,PO Box 15627,,York,PA,17405,,(717) 845-1584,,,(717) 854-6376,,www.yatb.com,York Adams Tax Bureau,1405 North Duke Street,PO Box 15627,,York,PA,17405,,(717) 845-1584,,,(717) 854-6376,,www.yatb.com,010201,ADAMS TAX COLLECTION DISTRICT
2017,MONTGOMERY,460034,ABINGTON TWP,460302,ABINGTON S D,1,07/01/2003,0.5,04/01/2003,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,JAY BLUMENTHAL,1176 OLD YORK ROAD,,,ABINGTON,PA,19001,,(267) 536-1024,,,(215) 884-8271,jblumenthal@abington.org,http://www.abington.org,,,,,,,,,,,,,,,460101,MONTGOMERY TAX COLLECTION DISTRICT
2017,CAMBRIA,110035,ADAMS TWP,112203,FOREST HILLS S D,1,07/01/1965,0.5,,0.5,,0,1,0,0,52,01/01/2008,0,,52,12000,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,JAMES RACHAEL,117 LLOYD STREET,,,WINDBER,PA,15963,,(814) 487-5582,,,,,,,,,,,,,,,,,,,,110601,CAMBRIA TAX COLLECTION DISTRICT
2017,BUTLER,100035,ADAMS TWP,105003,MARS AREA S D,1,03/24/2003,0.5,07/01/1965,0.5,,0,1,5000,0,0,,10,,10,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,100401,BUTLER TAX COLLECTION DISTRICT
2017,SNYDER,550035,ADAMS TWP,555003,MIDD-WEST S D,0.5,,0.5,,1.8,07/01/2016,0,2.3,0,0,0,,0,,0,0,0,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550101,SNYDER TAX COLLECTION DISTRICT
2017,WESTMORELAND,650033,ADAMSBURG BORO,653802,HEMPFIELD AREA S D,0.5,01/01/2012,0.5,,0.5,,0,1,0,0,47,01/01/2010,5,01/01/2008,52,12000,3200,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,Keystone Collections Group,546 Wendel Road,,,Irwin,PA,15642,,(724) 978-0300,,,(724) 978-0339,,www.keystonecollects.com,Berkheimer Tax Administrator,50 North Seventh Street,,,Bangor,PA,18013,,(610) 599-3139,,(866) 701-7206,(610) 588-5765,csberk@hab-inc.com,http://www.hab-inc.com,650701,WESTMORELAND TAX COLLECTION DISTRICT
2017,LANCASTER,360033,ADAMSTOWN BORO,361303,COCALICO S D,1,01/01/2012,0.5,,0.5,,0,1,0,0,52,01/01/2009,0,,52,12000,0,Lancaster County Tax Collection Bureau,1845 William Penn Way,,,Lancaster,PA,17601,,(717) 569-4521,,,(717) 569-1623,,www.lctcb.org,Lancaster County Tax Collection Bureau,1845 William Penn Way,,,Lancaster,PA,17601,,(717) 569-4521,,,(717) 569-1623,,www.lctcb.org,,,,,,,,,,,,,,,360101,LANCASTER TAX COLLECTION DISTRICT
2017,SOMERSET,560033,ADDISON BORO,568404,TURKEYFT VLLY AREA SD,0,,0.5,,0.5,,0,1,0,0,0,,0,,0,0,0,Capital Tax Collection Bureau,506 State Rd,,,Marysville,PA,17053,,(717) 957-7281,,,(717) 957-7295,captax@captax.com,www.captax.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561001,SOMERSET TAX COLLECTION DISTRICT
2017,SOMERSET,560065,ADDISON TWP,568404,TURKEYFT VLLY AREA SD,0,,0.5,,0.5,,0,1,0,0,0,,0,,0,0,0,Capital Tax Collection Bureau,506 State Rd,,,Marysville,PA,17053,,(717) 957-7281,,,(717) 957-7295,captax@captax.com,www.captax.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561002,SOMERSET TAX COLLECTION DISTRICT
